objectid,cat,man,bran,year,circa,xd,gd,cd,td,s,storfor,omit,locbox,locbag,expos,backp,manid,branid,mansafe,bransafe,xdsafe,gdsafe,cdsafe,tdsafe,ssafe,backpsafe
332709853,5553,Kodak,Elite Fine Art,1990,1,Ultra Smooth,High Luster,White,Premium Weight,S,Not exposed - package sealed,0,104.0,A,,,http://www.wikidata.org/entity/Q486269,,Kodak,Elite_Fine_Art,Ultra_Smooth,High_Luster,White,Premium_Weight,S,
2145796753,5596,Kodak,Polycontrast III,1990,1,Smooth,Glossy,White,Medium Weight,F,Not exposed - package open,0,133.0,B,,,http://www.wikidata.org/entity/Q486269,,Kodak,Polycontrast_III,Smooth,Glossy,White,Medium_Weight,F,
1167755871,2025,Kodak,Polycontrast III,1991,1,Smooth,Glossy,White,Medium Weight,F,Not exposed - package open,0,65.0,A,,K11,http://www.wikidata.org/entity/Q486269,,Kodak,Polycontrast_III,Smooth,Glossy,White,Medium_Weight,F,K11
1316871969,2227,Ilford,Ilfospeed,1991,1,[texture unspecified],Glossy,[base color unspecified],Medium Weight,1M,Not exposed - package open,0,45.0,B,,,http://viaf.org/viaf/131332975,,Ilford,Ilfospeed,[texture_unspecified],Glossy,[base_color_unspecified],Medium_Weight,1M,
1129036167,2249,Ilford,Multigrade ,1991,1,[texture unspecified],Matte,[base color unspecified],Double Weight,5K,Package only,0,42.0,C,,,http://viaf.org/viaf/131332975,,Ilford,Multigrade,[texture_unspecified],Matte,[base_color_unspecified],Double_Weight,5K,
203940819,5386,Ilford,Multigrade III,1991,1,[texture unspecified],Pearl,[base color unspecified],Medium Weight,44M,Not exposed - package open,0,128.0,C,,,http://viaf.org/viaf/131332975,,Ilford,Multigrade_III,[texture_unspecified],Pearl,[base_color_unspecified],Medium_Weight,44M,
1087415751,5387,Ilford,Multigrade ,1991,1,[texture unspecified],Glossy,[base color unspecified],Double Weight,1K,Not exposed - package open,0,122.0,A,,,http://viaf.org/viaf/131332975,,Ilford,Multigrade,[texture_unspecified],Glossy,[base_color_unspecified],Double_Weight,1K,
1470239238,5388,Ilford,Ilfospeed Multigrade II,1991,1,[texture unspecified],Pearl,[base color unspecified],Medium Weight,44M,Not exposed - package open,0,122.0,A,,,http://viaf.org/viaf/131332975,,Ilford,Ilfospeed_Multigrade_II,[texture_unspecified],Pearl,[base_color_unspecified],Medium_Weight,44M,
1915468277,5393,Ilford,Multigrade III,1991,1,[texture unspecified],Pearl,[base color unspecified],Medium Weight,44M,Not exposed - package open,0,123.0,A,,,http://viaf.org/viaf/131332975,,Ilford,Multigrade_III,[texture_unspecified],Pearl,[base_color_unspecified],Medium_Weight,44M,
617596687,5422,Photon,Berezka,1991,0,Smooth,Glossy,White,Double Weight,[not specified],Not exposed - package open,0,132.0,C,,,,,Photon,Berezka,Smooth,Glossy,White,Double_Weight,[not_specified],
1020685447,5423,Photon,Universal-1,1991,0,Smooth,Glossy,White,Double Weight,[not specified],Not exposed - package sealed,0,131.0,C,,,,,Photon,Universal-1,Smooth,Glossy,White,Double_Weight,[not_specified],
2145796707,5427,Positiv,[Indeterminate],1991,0,[texture unspecified],[gloss unspecified],[base color unspecified],[weight unspecified],[not specified],Not exposed - package sealed,0,131.0,A,,,,,Positiv,[Indeterminate],[texture_unspecified],[gloss_unspecified],[base_color_unspecified],[weight_unspecified],[not_specified],
1782146912,1767,Ilford,Ilfospeed,1992,1,[texture unspecified],Pearl,[base color unspecified],Medium Weight,44M,Not exposed - package open,0,31.0,A,,,http://viaf.org/viaf/131332975,,Ilford,Ilfospeed,[texture_unspecified],Pearl,[base_color_unspecified],Medium_Weight,44M,
2088804199,1993,Kodak,Polymax ,1992,1,Smooth,Semi Matte,White,Medium Weight,N,Not exposed - package open,0,36.0,B,,K11,http://www.wikidata.org/entity/Q486269,,Kodak,Polymax,Smooth,Semi_Matte,White,Medium_Weight,N,K11
380219411,1994,Ilford,Ilfospeed,1992,1,[texture unspecified],Glossy,[base color unspecified],Medium Weight,1M,Not exposed - package open,0,36.0,B,,,http://viaf.org/viaf/131332975,,Ilford,Ilfospeed,[texture_unspecified],Glossy,[base_color_unspecified],Medium_Weight,1M,
272008711,2412,Kodak,Polycontrast III,1992,1,Smooth,Semi Matte,White,Medium Weight,N,Not exposed - package open,0,47.0,B,,,http://www.wikidata.org/entity/Q486269,,Kodak,Polycontrast_III,Smooth,Semi_Matte,White,Medium_Weight,N,
