"PhotoID","Year","DateUncertain","Catalog Number","Secondary Catalog Number","Manufacturer","Brand","Format","Texture2","Reflectance2","BaseColor2","Weight2","SurfaceDesignation2","Omit_from_Paperbase","LocationBox","LocationBag","Exposure","BackprintingPrimary","ProcessName","Link","AATA_ID"
1605275763,"1959",1,3214,"hh","DuPont","Ivora","Sample book","[texture unspecified]","[gloss unspecified]","[base color unspecified]","[weight unspecified]","[not specified]",0,3,"17",34,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-893780174,"1959",1,3214,"i","DuPont","Varigam","Sample book","Silk","[gloss unspecified]","Cream White","Double Weight","Y",0,3,"17",8,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
276350923,"1959",1,3214,"j","DuPont","Varilour","Sample book","Velvet Grain","Luster","Natural White","Double Weight","DL",0,3,"17",10,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-1535410000,"1959",1,3214,"k","DuPont","Varilour","Sample book","[texture unspecified]","Glossy","White","[weight unspecified]","[not specified]",0,3,"17",11,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-1689010447,"1959",1,3214,"l","DuPont","Varilour","Sample book","Silk","[gloss unspecified]","Natural White","Double Weight","Y",0,3,"17",12,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1384453726,"1959",1,3214,"m","DuPont","Velour Black","Sample book","[texture unspecified]","Semi Matte","White","[weight unspecified]","[not specified]",0,3,"17",14,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1425891975,"1959",1,3214,"n","DuPont","Velour Black","Sample book","[texture unspecified]","Semi Glossy","White","[weight unspecified]","BT",0,3,"17",15,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-707814468,"1959",0,3214,"o","DuPont","Velour Black","Sample book","Velvet Grain","Luster","Natural White","Double Weight","DL",0,3,"17",15,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1583958029,"1959",1,3214,"p","DuPont","Velour Black","Sample book","Velvet Grain","High Luster","Natural White","Double Weight","DS",0,3,"17",16,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-1317185462,"1959",1,3214,"q","DuPont","Velour Black","Sample book","[texture unspecified]","Glossy","White","Single Weight","R",0,3,"17",16,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-254082813,"1959",1,3214,"r","DuPont","Velour Black","Sample book","[texture unspecified]","Glossy","White","Double Weight","T",0,3,"17",17,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-1960321144,"1959",1,3214,"s","DuPont","Velour Black","Sample book","Silk","[gloss unspecified]","Cream White","Double Weight","Y",0,3,"17",17,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-2099873047,"1959",1,3214,"t","DuPont","Warmtone","Sample book","Velvet Grain","Luster","Natural White","Double Weight","DL",0,3,"17",19,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-1621036810,"1959",1,3214,"u","DuPont","Warmtone","Sample book","Rough","Luster","Natural White","Double Weight","DDL",0,3,"17",20,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
201809727,"1959",1,3214,"v","DuPont","Warmtone","Sample book","Silk","[gloss unspecified]","Cream White","Double Weight","Y",0,3,"17",20,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
-1851893740,"1959",1,3214,"w","DuPont","Warmtone","Sample book","Rough Cloth","[gloss unspecified]","Natural White","Double Weight","ZL",0,3,"17",21,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
2096591749,"1959",1,3214,"x","DuPont","Adlux","Sample book","[texture unspecified]","[gloss unspecified]","[base color unspecified]","[weight unspecified]","[not specified]",0,3,"17",23,,"	gelatin silver process","#http://vocab.getty.edu/page/aat/300139114#","300139114"
1367919714,"1959",0,3214,"y","DuPont","texture screens","Sample book","[texture unspecified]","[gloss unspecified]","[base color unspecified]","[weight unspecified]","[not specified]",0,3,"17",25,,"photography and photographic processes and techniques","#https://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&page=1&subjectid=300149146#","300149146"
